QueryType,QueryText,KccAns
Varieties,Information regarding the detail about the varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Sowing Time and Weather,Information regarding the pre-emergence herbicides used in the wheat,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Market Information,Pm-kisan & pm-kisan maan dhan yojna (pm-kmy) help desk number.,"Pm-kisan maan dhan yojana helpline numbers are 011-23382401, 011-23381092"
Sowing Time and Weather,Information regarding sowing time of wheat,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Varieties,Information regarding the detail about the varieties of wheat ,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Weed Management,Information regarding weed control in gram,Weed control in gram at pre- emergence stage spray stomp 30ec(pendimethalin) @ 1lt per acre in 150lt water.
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,Weed control in gram at pre- emergence stage spray stomp 30ec(pendimethalin) @ 1lt per acre in 150lt water.
Field Preparation,Information regarding contact no. of patiala kvk,"The contact no. of patiala kvk is 0175-2225473 , 94173-60460"
Field Preparation,Information regarding contact no. of patiala kvk,After harvesting of paddy by combine harvester use baler to make bales.
Field Preparation,Information regarding paddy straw management,After harvesting of paddy by combine harvester use baler to make bales.
Field Preparation,Information regarding paddy straw management ,After harvesting of paddy by combine harvester use baler to make bales.
Varieties,Information regarding for subsidy availability in wheat seed ,Please contact near block agriculture office.
Training and Exposure Visits,Information regarding contact no. of patiala kvk,Please contact near block agriculture office.
Plant Protection,Information regarding manures and fertilizers used in pea crop,No need to apply pesticide in last 15 days of paddy crop harvest.
Plant Protection,Information regarding seed treatment of pea crop,No need to apply pesticide in last 15 days of paddy crop harvest.
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding the control of sheath blight in basmati crop,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,No need to apply pesticide in last 15 days of paddy crop harvest.
Plant Protection,Information regarding application of pesticide in paddy crop,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre"
Nutrient Management,Information regarding the fertilizer requirement in wheat sown with happy seeder ,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Nutrient Management,Information regarding the pre-emergence herbicides used in the wheat,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Varieties,Information regarding the detail about the varieties of wheat ,The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Fertilizer Use and Availability,Information regarding manures and fertilizers used in potato crop,"Manures and fertilizers used in potato crop apply 20tonnes of fym,165kg urea,155kg ssp and 40kg potash."
Cultural Practices,Information regarding weed control in spinach,Hoeing is recommended for weed control in spinach.no recommendation of weedicide.
Cultural Practices,Information regarding the weed management in peas,Weed control in peas spray stomp 30ec 1 litre per acre in 200 litres of water within two days of sowing
Varieties,Information regarding the varieties of wheat suitable for rainfed conditions,The sowing time of wheat under rainfed conditions is last week of october to first week of november.
Varieties,Information regarding the detail about hd-3226 and availability of seed of this variety ,"The dbw-187 variety of wheat is released by indian institute of wheat and barley research, karnal so for detailed information about this variety contact 01842267390."
Varieties,Information regarding the detail about dbw-187 variety of wheat ,"The dbw-187 variety of wheat is released by indian institute of wheat and barley research, karnal so for detailed information about this variety contact 01842267390."
Plant Protection,Information regarding control of disease in cucurbit,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Varieties,Information regarding the detail about the varieties of wheat ,"The dbw-187 variety of wheat is released by indian institute of wheat and barley research, karnal so for detailed information about this variety contact 01842267390."
Seeds,Information regarding the detail about hd-3226 and availability of seed of this variety ,"The average yield of wheat variety hd-3226 is 23 quintal per acre, matures in about 142 days and for purcahsing the seed of this variety contact with indian agricultural research institute, new delhi 011-25843375."
Varieties,Information regarding the detail about the varieties of wheat ,"The average yield of wheat variety hd-3226 is 23 quintal per acre, matures in about 142 days and for purcahsing the seed of this variety contact with indian agricultural research institute, new delhi 011-25843375."
Varieties,Information regarding new variety of wheat,"The new variety of wheat is hd 3226, it suitable for sowing in 25 october to 30 november., its yield is 22-28 quintal per acre and height is 110-115 cm.this variety is not recommended, this variety is not recommended."
Cultural Practices,Information regarding the seed treatment of wheat to protect from termite ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Varieties,Information regarding the detail about the timely sowing varieties of wheat,"Varieties of wheat are- pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days)"
Cultural Practices,Information regarding the method of seed treatment of wheat for termite control ,"Varieties of wheat are- pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days)"
Cultural Practices,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,"Varieties of wheat are- pbw 725(yield-22.9 quintal, height-105 cm and time-154 days), hd 3086(yield-23 quintal, height-96 cms and time-156 days), hd 2967(yield-21.4 quintal, height- 101 cms and time-157 days), wh 1105(yield-23.1 quintal, height- 97 cms and time-157 days)"
Cultural Practices,Information regarding the sowing time of timely sowing varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Cultural Practices,Information regarding sowing time of gobhi sarson,Sowing time of gobhi sarson is 10 october to 30 october.
Cultural Practices,Information regarding improved varieties of gobhi sarson,Sowing time of gobhi sarson is 10 october to 30 october.
Cultural Practices,Information regarding improved varieties of raya,Sowing time of gobhi sarson is 10 october to 30 october.
Cultural Practices,Information regarding sowing time of wheat,"Total fertilizer dose in wheat - urea 90kg ,dap 55kg ,20kg potash per acre and potash is apply after soil test or 40kg in district of gurdaspur, hoshiarpur, ropar and shaheed bhagat singh nagar."
Cultural Practices,Information regarding total fertilizer dose in wheat ,"Total fertilizer dose in wheat - urea 90kg ,dap 55kg ,20kg potash per acre and potash is apply after soil test or 40kg in district of gurdaspur, hoshiarpur, ropar and shaheed bhagat singh nagar."
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg muriate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg muriate of potash in other areas of punjab based on the soil testing report.if dap is used for phosphorous reduce urea 20 kg."
Cultural Practices,Information regarding seed rate of rapeseed-mustard,Seed rate of rapeseed-mustard is 1.5kg per acre.
Nutrient Management,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg muriate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg muriate of potash in other areas of punjab based on the soil testing report.if dap is used for phosphorous reduce urea 20 kg."
Fertilizer Use and Availability,Information regarding total fertilizer dose used in barseem,"Total fertilizer dose used in barseem is 22 kg urea, 185kg superphosphate per acre."
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat ,Inoculate the 40 kg wheat seed with 500 gram consortium or 250 gram azotobacter and 250 gram streptomyces (azo-s) bio-fertilizer and one litre of water on pucca floor. let it dry in shade and sow immediately.
Seeds,Information regarding the seed inoculation in wheat ,Inoculate the 40 kg wheat seed with 500 gram consortium or 250 gram azotobacter and 250 gram streptomyces (azo-s) bio-fertilizer and one litre of water on pucca floor. let it dry in shade and sow immediately.
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Plant Protection,Information regarding control of fruit fly in fruits,For control of citrus psylla and aphids in citrus spray 200 ml confidor 17.8 sl (imidacloprid) or 160 g actara 25 wg (thiamethoxam) per acre in 500 litre of water during april-may and september-october.
Plant Protection,Information regarding control of citrus psylla and aphids in citrus,For control of citrus psylla and aphids in citrus spray 200 ml confidor 17.8 sl (imidacloprid) or 160 g actara 25 wg (thiamethoxam) per acre in 500 litre of water during april-may and september-october.
Varieties,Information regarding improved varieties in spring maize,"Improved varieties in maize- pmh 10, dkc 9108, pmh 8, pmh 7 andpmh 1."
Sowing Time and Weather,Information regarding sowing time of maize,"Improved varieties in maize- pmh 10, dkc 9108, pmh 8, pmh 7 andpmh 1."
Cultural Practices,Information regarding sowing time of tomato,Sowing time of tomato nursery planting in october and transplanting in november- december.
Market Information,Information regarding recruitment of kisan call centre,Sowing time of tomato nursery planting in october and transplanting in november- december.
Varieties,Information regarding the sowing time of timely sowing varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Cultural Practices,Information regarding management of bad quality water and alkali soil ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Credit,Information regarding msp of paddy,2018-19 msp of paddy (common) is rs 1750 and paddy (grade a) is 1770 rs . new 2019-2020 msp of paddy (common) is rs 1815 and paddy (grade a) is 1835 rs .
Soil Testing,Information regarding how to collect soil sample,"Punjab agriculture university(ludhiana),block agriculture and krishi vigyan kender offices provides facility of soil testing and water."
Soil Testing,Information regarding availability of soil and water testing lab,"Punjab agriculture university(ludhiana),block agriculture and krishi vigyan kender offices provides facility of soil testing and water."
Soil Testing,Information regarding contact no. of patiala kvk,"Punjab agriculture university(ludhiana),block agriculture and krishi vigyan kender offices provides facility of soil testing and water."
Cultural Practices,Information regarding subsidy availability for agricultural machinery,"50% subsidy is available for super sms ,happy seeder,paddy straw chopper and mb plough and 80% subsidy is available for group.subsidy on rotavator is available for group only and the last date to apply is 15 august 2019.you can apply it online at agrimachinery.nic.in"
Plant Protection,Information regarding contact no. of waste decomposer paunchkula,Contact no. of waste decomposer paunchkula 0172-2564460.
Plant Protection,Information regarding processing of waste decomposer ,Contact no. of waste decomposer paunchkula 0172-2564460.
Varieties,Information regarding the detail about the varieties of wheat ,The contact no. of patiala kvk is 0175-2225473.
Varieties,Information regarding the sowing time of timely sowing varieties of wheat ,The contact no. of patiala kvk is 0175-2225473.
Varieties,Information regarding the recommended dose of fertilizers for wheat ,The contact no. of patiala kvk is 0175-2225473.
Varieties,Information regarding contact no. of patiala kvk,The contact no. of patiala kvk is 0175-2225473.
Plant Protection,Information regarding control of caterpillar in fodder maize,To control gram caterpillar in fodder maize spray 400 ml ekalux (quinalphos25% ec ) in 100 litre of water.
Fertilizer Use and Availability,Information regarding fertilizer doses in fenugreek,Fertilizer doses in fenugreek is apply 11 kg urea and 50 kg single superphosphate per acre at the time of sowing.
Sowing Time and Weather,Information regarding sowing time of wheat,Weather in (block-samana) patiala district- no chances of rainfall today but partly cloudy in next 2 days.today's maximum temperature 32°c and minimum temperature is 16°c and wind speed is 7-11 km/hour and you can do the spray on the crops as per weather forecast.
Varieties,Information regarding new variety of wheat ,Weather in (block-samana) patiala district- no chances of rainfall today but partly cloudy in next 2 days.today's maximum temperature 32°c and minimum temperature is 16°c and wind speed is 7-11 km/hour and you can do the spray on the crops as per weather forecast.
Cultural Practices,"Information regarding for control of wilt, root rot and collar rot in pea","For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Sowing Time and Weather,Information regrading sowing time of wheat,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Varieties,Information regarding new variety of wheat ,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Plant Protection,Information regarding control of maydis leaf blight in fodder maize ,For control of maydis leaf blight in fodder maize spray 200 gram indofil m-45 (mancozeb) in 100 litres of water per acre.
Plant Protection,Information regarding the control of soil insects in vegetables,For control of soil insect in vegetables drench 10 ml chlorpyriphos 20 ec per litre of water.
Varieties,Information regarding improved variety of ryegrass,Improved variety of ryegrass is punjab raye grass no. 1.
Seeds,Information regarding seed rate of ryegrass,Improved variety of ryegrass is punjab raye grass no. 1.
Sowing Time and Weather,Information regarding sowing time of wheat,Improved variety of ryegrass is punjab raye grass no. 1.
Sowing Time and Weather,Information regrading sowing time of wheat,Improved variety of ryegrass is punjab raye grass no. 1.
Weed Management,Information regarding weedicides in grass garden,No recommendation of weedicides on grass lawn
Weed Management,Information regarding the pre-emergence herbicides used in the wheat,For pre-emergence control of weeds in wheat spray 1.5 litres of stomp 30 ec (pendimethalin) or 60 gram awkira 85 wg(pyroxasulfone) or 1 litre of platform 38.5 se(pendimethalin 35%+metribuzin 3.5%) in 200 litres of water per acre within 2 days of sowing of wheat.
Fertilizer Use and Availability,Information regarding method of fertilizer application in wheat ,Drill half(55kg) dose of nitrogen and whole(55kg) dap and potash(20kg) at the time of sowing and remaining (55kg) nitrogen at 1st irrigation.
Varieties,Information regarding the detail about the varieties of wheat ,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Seeds,Information regarding the seed rate of wheat,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Sowing Time and Weather,Information regarding the sowing time of timely sowing varieties of wheat,The sowing time of timely sowing varieties of wheat is from the 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Seeds,Information regarding the method of seed treatment of wheat for termite control ,Dilute 160 ml chlorpyriphos 20 ec in 1 litre of water and spray the same on 40 kg seed spread as a thin layer on the pucca ground or tarpaulin or polythene.
Seeds,Information regarding the seed inoculation in wheat ,Dilute 160 ml chlorpyriphos 20 ec in 1 litre of water and spray the same on 40 kg seed spread as a thin layer on the pucca ground or tarpaulin or polythene.
Seeds,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,Dilute 160 ml chlorpyriphos 20 ec in 1 litre of water and spray the same on 40 kg seed spread as a thin layer on the pucca ground or tarpaulin or polythene.
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,"Fertilizers for wheat crop-apply 110 kg urea, 55 kg dap or 155 kg super phosphate, 40 kg muriate of potash (in gurdaspur, hoshiarpur ropar and shaheed bhagat singh nagar districts) or 20 kg muriate of potash in other areas of punjab based on the soil testing report.if dap is used for phosphorous reduce urea 20 kg.you can also apply npk (12:32:16) 80 kg per acre rather than dap,then apply 90 kilo urrea at first and second irrigation."
Seeds and Planting Material,"Information regarding for control of wilt, root rot and collar rot in pea","For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Seeds and Planting Material,Information regarding seed treatment of pea crop,"For control of wilt, root rot and collar rot in pea, treat seed with 1 gram bavistin or 2 gram captan per kg seed before sowing."
Fertilizer Use and Availability,Information regarding manures and fertilizers used in pea crop,"Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
Cultural Practices,Information regarding seed rate in pea,"Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
Cultural Practices,Information regarding spacing in pea crop,"Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
"Water Management, Micro Irrigation",Information regarding irrigation management in pea crop,"Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
Plant Protection,"Information regarding for control of wilt, root rot and collar rot in pea","Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
Bio-Pesticides and Bio-Fertilizers,Information regarding seed treatment of pea crop,"Apply 8 tonnes fym 10-15 days before sowing ,45 kg urea and 155kg single superphosphate per acre before sowing in pea crop."
Varieties,Information regarding sowing time of wheat,"Sowing time of wheat- from 4th week of october to 4th week of november varieties are unnat pbw 343 ,pbw 1 zinc , pbw 725 ,pbw 677 , hd 3086 , wh 1105, hd 2967, pbw 621 and tl-2908."
Cultural Practices,Information regarding improved varieties of carrot,"Improved varieties of carrot are punjab carrot red,punjab black beauty ,pc-34 ."
Plant Protection,Information regarding control of fruit drop in lemon ,"Control of fruit drop in lemon spray ziram (zineb)27 sc (1250 ml)+ 2, 4-d, sodium salt of horticulture grade (5gm)or propiconazole 25 ec(500 ml)+ 2,4-d (5 gm) orbavistin 50 wp (500 gm)+2, 4,-d (5gm) in mid-april,august and september ."
Cultural Practices,Information regarding contact no. of patiala kvk,The contact no. of chief agricultural officer of patiala is 0175-2214774.
Sowing Time and Weather,Information regarding the detail about the varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),height 100cm & 155 days unnat pbw 550(yield-23 quintal)height 86 &145days , pbw 1 zinc(yield-22.5 quintal)height 103&151days, pbw 725(yield-22.9 quintal)height105&154days, pbw 677(yield-22.4 quintal)height 107 &157days, hd 3086(yield-23 quintal),height96 &156days hd 2967(yield-21.4 quintal),height 101 &157days wh 1105(yield-23.1 quintal),height 97 &157days"
Plant Protection,Information regarding control of mealybug in papaya ,To control of mealybug in papaya spray 5 ml durmet/dursban(chlorpyriphos) per litre water or 1.5ml/1l rogor 30ec ( dimethoate) or 1ml/2.5l confider 17.8sl (imidaclopride) ...
Plant Protection,Information regarding the detail about the varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Varieties,Information regarding sowing time of wheat,Sowing time of gobhi sarson is 10 october to 30 october.
Plant Protection,Information regarding the method of seed treatment of wheat for rodent control ,Dilute 160 ml chlorpyriphos 20 ec in 1 litre of water and spray the same on 40 kg seed spread as a thin layer on the pucca ground or tarpaulin or polythene.
Plant Protection,Information regarding seed rate of barseem,Seed rate of barseem is 8-10kg per acre.
Plant Protection,Information regarding total fertilizer dose used in barseem,Seed rate of barseem is 8-10kg per acre.
Plant Protection,Information regarding control of grasshopper and aphid in paddy ,"For control of grasshopper and hoppers in paddy, spray 120 gm chess(pymetrozine 50 wg) or 40 ml confidor(imidacloprid 200 sl (17.8 % w/w) or ekalux 800 ml (quinalphos 25% ec ) or 1 litre chlorpyriphos 20 ec in 100 litres of water per acre."
Plant Protection,Information regarding the sowing time of timely sowing varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
"Water Management, Micro Irrigation",Information regarding irrigation management in pea crop,Apply first irrigation after 15 days of sowing of crop.apply second during emerging of flowering and third irrigation when pods are filling.
Cultural Practices,Information regarding for weed control in methi ,"No recommendation for weed control in methi,only hoeing is done."
Market Information,Information regarding seed rate of rapeseed-mustard,Seed rate of rapeseed-mustard is 1.5kg per acre.
Fertilizer Use and Availability,Information regarding the recommended dose of fertilizers for wheat ,Apply full dose of phosphorous(d.a.p) and potash at the time of sowing and 90 kg urea in 2 equal installments at the time of first and second irrigation.
Fertilizer Use and Availability,Information regarding the timing of fertilizer application in wheat crop,Apply full dose of phosphorous(d.a.p) and potash at the time of sowing and 90 kg urea in 2 equal installments at the time of first and second irrigation.
Plant Protection,"Information regarding contact no. of punjab agricultural university, ludhiana",The contact no. of punjab agricultural university ludhiana is 0161-2401960.
Varieties,Information regarding the varieties of wheat suitable for rainfed conditions,The varieties of wheat for rainfed conditions-pbw 660(yield-17.1 quintal) and pbw 644(yield-16.4 quintal).
Varieties,Information regarding the pre-emergence herbicides used in the wheat,The varieties of wheat for rainfed conditions-pbw 660(yield-17.1 quintal) and pbw 644(yield-16.4 quintal).
Seeds,Information regarding the method of seed treatment of wheat for termite control ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Seeds,Information regarding the seed treatment of wheat for protection from loose smut and flag smut,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Seeds,Information regarding the seed inoculation in wheat ,Treat 40 kg seed with 13 ml raxil easy/ orius 6 fs(tebuconazole) by dissolving in 400 ml water or 120 gram vitavax power 75 ws (carboxin+tetramethyl disulphide) or 80 gram vitavax 75 wp (carboxin)or 40 gram tebuseed/seedex/exzole 2 ds (tebuconazole) per 40 kg seed.
Training and Exposure Visits,Information regarding the contact no. of pau ludhiana,"The new variety of wheat is pbw 752, it suitable for sowing in december month its yield is 19.2 quintal per acre and it matures in about 130 days."
Cultural Practices,Information regarding seed rate in pea,Apply first irrigation after 15 days of sowing of crop.apply second during emerging of flowering and third irrigation when pods are filling.
Cultural Practices,Information regarding irrigation management in pea crop,Apply first irrigation after 15 days of sowing of crop.apply second during emerging of flowering and third irrigation when pods are filling.
Cultural Practices,Information regarding seed treatment of pea crop,Apply first irrigation after 15 days of sowing of crop.apply second during emerging of flowering and third irrigation when pods are filling.
Cultural Practices,Information regarding the weed management in peas,Apply first irrigation after 15 days of sowing of crop.apply second during emerging of flowering and third irrigation when pods are filling.
Varieties,Information regarding sowing time of wheat,"The new variety of wheat is pbw 752, it suitable for sowing in december month its yield is 19.2 quintal per acre and it matures in about 130 days."
Government Schemes,Information regarding for subsidy in implements ,Please contact near block agriculture office.
Plant Protection,Information regarding to seed treatment with rhizobium leguminosorum culture in pea seed ,"After chemical treatment, treat seeds with rhizobium leguminosorum culture for better quality and yield. the culture material is emulsified in 10 percent sugar solution or jaggery solution. mix thoroughly the emulsified culture with seed and dry in shade. it will increase yield up to 8-10%."
Sowing Time and Weather,Information regarding the detail about the varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Sowing Time and Weather,Information regarding control of termite in wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Plant Protection,Information regarding how to control red leaf of barseem,Information regarding how to control red leaf of barseem spray 2 -3 gram manganese sulphate per litre water .
Cultural Practices,Information regarding sowing time of potato crop,The sowing time of timely sowing varieties of wheat is from 4th week of october to the 4th week of november but the sowing time of unnat pbw 550 and pbw 550 variety is from 2nd week of november to 4th week of november.
Government Schemes,Information regarding the contact no. of punjab mandi board ,The contact no. of punjab mandi board is 1800-270-0224. or 0172-2210125.
Plant Protection,Information regarding the weed management in peas,Weed control in peas spray stomp 30ec 1lt per acre in 150 litres of water within two days after sowing
Varieties,Information regarding the new varieties of wheat ,"Varieties of wheat are-unnat pbw 343(yield-23.2 quintal),unnat pbw 550(yield-23 quintal), pbw 1 zinc(yield-22.5 quintal), pbw 725(yield-22.9 quintal), pbw 677(yield-22.4 quintal), hd 3086(yield-23 quintal),hd 2967(yield-21.4 quintal), wh 1105(yield-23.1 quintal), pbw 621(yield-21.1 quintal) and pbw 550(yield-20.8 quintal)."
Cultural Practices,Information regarding the soaking of wheat seed before sowing ,Soak the seed in water for 4-6 hours and spread it in thin layer and sow it after 24 hours.
Plant Protection,Information regarding sowing time of garlic,Sowing time of garlic is last week of september to first week of october.
